Perturbation	Ensemble average response
[CASP3i]	3.0
[FOXO_fi]	3.0
[CASP8i]	3.0
[CASP9i]	3.0
[AKT_fi]	1.9672131147540983
[NLKi]	3.0
[CCND1i]	3.0
[MYCi]	2.0
[TCF7_fi]	0.3764705882352941
[RSK_fi]	2.0
[mTORC2_ci]	2.8133333333333335
[DVL_fi]	3.0
[TSC_fi]	2.9833333333333334
[S6K_fi]	3.0
[FZD_fi]	3.0
[RAC_fi]	3.0
[MAP3K4i]	3.0
[MAP3K11i]	3.0
[MAP3K7i]	3.0
[GRAP2i]	3.0
[TAB_fi]	3.0
[MAPK14i]	2.4405594405594404
[MAP2K7i]	3.0
[MAP2K4i]	3.0
[DUSP1i]	2.47244094488189
[MSK_fi]	3.0
[MAP2K3i]	3.0
[MAP3K5i]	3.0
[PDPK1i]	2.1707317073170733
[ERK_fi]	3.0
[MMP_fi]	2.962686567164179
[RTPK_gi]	3.0
[MEK_fi]	3.0
[RAF_fi]	3.0
[MAP3K8i]	3.0
[RTPK_fi]	2.962686567164179
[PTENi]	3.0
[PTEN_gi]	3.0
[GSK3_fi]	3.0
[SHC1i]	2.72972972972973
[GRB2i]	2.72972972972973
[DUSP6i]	2.9246031746031744
[SOS1i]	2.9388489208633093
[PTPN11i]	3.0
[GAB_fi]	2.9444444444444446
[KRASi]	2.935114503816794
[RHEBi]	3.0
[IKBKBi]	3.0
[mTORC1_ci]	3.0
[AKT1S1i]	2.83
[PIK3CAi]	2.7051282051282053
[IRS1i]	3.0
[TP53i]	3.0
[EGR1i]	3.0
[LRP_fi]	2.3015873015873014
[MDM2i]	2.7762237762237763
[MDM2_gi]	3.0
[NFKB_fi]	3.0
[BAXi]	3.0
[BCL2i]	2.46
[BADi]	3.0
[CYCSi]	3.0
[CFLARi]	2.0
[ITCHi]	3.0
[JNK_fi]	3.0
[SFRP1i]	3.0
[SFRP1_gi]	3.0
[DKK_fi]	3.0
[DKK_gi]	3.0
[AXIN1i]	3.0
[CK1_fi]	3.0
[CHUKi]	3.0
[BTRCi]	3.0
[CTNNB1i]	1.0224719101123596
[LEFi]	2.962686567164179
[Antisurvivali]	3.0
[Prosurvivali]	3.0
[CASP3i]-[FOXO_fi]	3.0
[CASP3i]-[CASP8i]	3.0
