Perturbation	Response excess over subset
[CASP3i]-[FOXO_fi]	0.0
[CASP3i]-[CASP8i]	0.0
[CASP3i]-[CASP9i]	0.0
[CASP3i]-[AKT_fi]	0.0
[CASP3i]-[NLKi]	0.0
[CASP3i]-[CCND1i]	0.0
[CASP3i]-[MYCi]	0.0
[CASP3i]-[TCF7_fi]	0.0
[CASP3i]-[RSK_fi]	0.0
[CASP3i]-[mTORC2_ci]	0.0
[CASP3i]-[DVL_fi]	0.0
[CASP3i]-[TSC_fi]	0.0
[CASP3i]-[S6K_fi]	0.0
[CASP3i]-[FZD_fi]	0.0
[CASP3i]-[RAC_fi]	0.0
[CASP3i]-[MAP3K4i]	0.0
[CASP3i]-[MAP3K11i]	0.0
[CASP3i]-[MAP3K7i]	0.0
[CASP3i]-[GRAP2i]	0.0
[CASP3i]-[TAB_fi]	0.0
[CASP3i]-[MAPK14i]	0.0
[CASP3i]-[MAP2K7i]	0.0
[CASP3i]-[MAP2K4i]	0.0
[CASP3i]-[DUSP1i]	0.0
[CASP3i]-[MSK_fi]	0.0
[CASP3i]-[MAP2K3i]	0.0
[CASP3i]-[MAP3K5i]	0.0
[CASP3i]-[PDPK1i]	0.0
[CASP3i]-[ERK_fi]	0.0
[CASP3i]-[MMP_fi]	0.0
[CASP3i]-[RTPK_gi]	0.0
[CASP3i]-[MEK_fi]	0.0
[CASP3i]-[RAF_fi]	0.0
[CASP3i]-[MAP3K8i]	0.0
[CASP3i]-[RTPK_fi]	0.0
[CASP3i]-[PTENi]	0.0
[CASP3i]-[PTEN_gi]	0.0
[CASP3i]-[GSK3_fi]	0.0
[CASP3i]-[SHC1i]	0.0
[CASP3i]-[GRB2i]	0.0
[CASP3i]-[DUSP6i]	0.0
[CASP3i]-[SOS1i]	0.0
[CASP3i]-[PTPN11i]	0.0
[CASP3i]-[GAB_fi]	0.0
[CASP3i]-[KRASi]	0.0
[CASP3i]-[RHEBi]	0.0
[CASP3i]-[IKBKBi]	0.0
[CASP3i]-[mTORC1_ci]	0.0
[CASP3i]-[AKT1S1i]	0.0
[CASP3i]-[PIK3CAi]	0.0
[CASP3i]-[IRS1i]	0.0
[CASP3i]-[TP53i]	0.0
[CASP3i]-[EGR1i]	0.0
[CASP3i]-[LRP_fi]	0.0
[CASP3i]-[MDM2i]	0.0
[CASP3i]-[MDM2_gi]	0.0
[CASP3i]-[NFKB_fi]	0.0
[CASP3i]-[BAXi]	0.0
[CASP3i]-[BCL2i]	0.0
[CASP3i]-[BADi]	0.0
[CASP3i]-[CYCSi]	0.0
[CASP3i]-[CFLARi]	0.0
[CASP3i]-[ITCHi]	0.0
[CASP3i]-[JNK_fi]	0.0
[CASP3i]-[SFRP1i]	0.0
[CASP3i]-[SFRP1_gi]	0.0
[CASP3i]-[DKK_fi]	0.0
[CASP3i]-[DKK_gi]	0.0
[CASP3i]-[AXIN1i]	0.0
[CASP3i]-[CK1_fi]	0.0
[CASP3i]-[CHUKi]	0.0
[CASP3i]-[BTRCi]	0.0
[CASP3i]-[CTNNB1i]	0.0
[CASP3i]-[LEFi]	0.0
[CASP3i]-[Antisurvivali]	0.0
[CASP3i]-[Prosurvivali]	0.0
[FOXO_fi]-[CASP8i]	0.0
[FOXO_fi]-[CASP9i]	0.0
[FOXO_fi]-[AKT_fi]	0.0
[FOXO_fi]-[NLKi]	0.0
[FOXO_fi]-[CCND1i]	0.0
[FOXO_fi]-[MYCi]	0.0
[FOXO_fi]-[TCF7_fi]	0.0
[FOXO_fi]-[RSK_fi]	0.0
[FOXO_fi]-[mTORC2_ci]	0.0
[FOXO_fi]-[DVL_fi]	0.0
[FOXO_fi]-[TSC_fi]	0.0
[FOXO_fi]-[S6K_fi]	0.0
[FOXO_fi]-[FZD_fi]	0.0
[FOXO_fi]-[RAC_fi]	0.0
[FOXO_fi]-[MAP3K4i]	0.0
[FOXO_fi]-[MAP3K11i]	0.0
[FOXO_fi]-[MAP3K7i]	0.0
[FOXO_fi]-[GRAP2i]	0.0
[FOXO_fi]-[TAB_fi]	0.0
[FOXO_fi]-[MAPK14i]	0.0
[FOXO_fi]-[MAP2K7i]	0.0
[FOXO_fi]-[MAP2K4i]	0.0
[FOXO_fi]-[DUSP1i]	0.0
[FOXO_fi]-[MSK_fi]	0.0
[FOXO_fi]-[MAP2K3i]	0.0
[FOXO_fi]-[MAP3K5i]	0.0
[FOXO_fi]-[PDPK1i]	0.0
[FOXO_fi]-[ERK_fi]	0.0
[FOXO_fi]-[MMP_fi]	0.0
[FOXO_fi]-[RTPK_gi]	0.0
[FOXO_fi]-[MEK_fi]	0.0
[FOXO_fi]-[RAF_fi]	0.0
[FOXO_fi]-[MAP3K8i]	0.0
[FOXO_fi]-[RTPK_fi]	0.0
[FOXO_fi]-[PTENi]	0.0
[FOXO_fi]-[PTEN_gi]	0.0
[FOXO_fi]-[GSK3_fi]	0.0
[FOXO_fi]-[SHC1i]	0.0
[FOXO_fi]-[GRB2i]	0.0
