Perturbation	Synergies	Non-synergies
[CSKi]-[PRKACAi]	0	450
[CSKi]-[PRKCAi]	0	450
[CSKi]-[VAV1i]	0	450
[CSKi]-[RSK_fi]	0	450
[CSKi]-[SKP2i]	0	349
[CSKi]-[TGFB1i]	0	450
[CSKi]-[LIFi]	0	450
[CSKi]-[ILR_fi]	1	422
[CSKi]-[CREBBPi]	0	422
[CSKi]-[DUSP1_gi]	0	450
[CSKi]-[EP300i]	0	450
[CSKi]-[SMAD7_gi]	0	450
[CSKi]-[SMAD6_gi]	0	446
[CSKi]-[CCND1i]	0	427
[CSKi]-[DKK_gi]	0	405
[CSKi]-[NLKi]	0	450
[CSKi]-[TCF7_fi]	0	387
[CSKi]-[LEF1i]	0	450
[CSKi]-[EGR1i]	0	450
[CSKi]-[MMP_fi]	0	373
[CSKi]-[BTRCi]	0	450
[CSKi]-[CTNNB1i]	0	395
[CSKi]-[SFRP1_gi]	0	450
[CSKi]-[SFRP1i]	0	450
[CSKi]-[CFLARi]	0	382
[CSKi]-[MSK_fi]	0	450
[CSKi]-[RTPK_gi]	0	450
[CSKi]-[FZD_fi]	0	450
[CSKi]-[DKK_fi]	0	405
[CSKi]-[LRP_fi]	0	444
[CSKi]-[PIK3CAi]	0	450
[CSKi]-[MAP3K8i]	0	396
[CSKi]-[BAXi]	0	450
[CSKi]-[CYCSi]	0	450
[CSKi]-[S6K_fi]	0	450
[CSKi]-[MDM2_gi]	0	450
[CSKi]-[mTORC2_ci]	0	450
[CSKi]-[BADi]	0	450
[CSKi]-[RHEBi]	0	450
[CSKi]-[BCL2i]	0	427
[CSKi]-[AKT1S1i]	0	450
[CSKi]-[TSC_fi]	0	450
[CSKi]-[FOXO_fi]	0	450
[CSKi]-[PTEN_gi]	0	450
[CSKi]-[CASP8i]	0	450
[CSKi]-[IRS1i]	0	450
[CSKi]-[CHUKi]	0	349
[CSKi]-[GAB_fi]	0	415
[CSKi]-[PTPN11i]	0	390
[CSKi]-[GRAP2i]	0	450
[CSKi]-[MAP3K11i]	0	450
[CSKi]-[MAP3K4i]	0	450
[CSKi]-[MAP2K4i]	0	348
[CSKi]-[DUSP1i]	0	428
[CSKi]-[MAP3K5i]	0	450
[CSKi]-[MAP2K3i]	0	450
[CSKi]-[DUSP6i]	0	352
[CSKi]-[RAF_fi]	0	300
[CSKi]-[KRASi]	0	311
[CSKi]-[RTPK_fi]	0	419
[CSKi]-[SOS1i]	0	426
[CSKi]-[GRB2i]	0	415
[CSKi]-[PLCG1i]	1	449
[CSKi]-[PTPN6i]	0	450
[CSKi]-[SYKi]	1	449
[CSKi]-[CASP9i]	0	450
[CSKi]-[PDPK1i]	0	448
[CSKi]-[ILKi]	0	450
[CSKi]-[PAK1i]	0	450
[CSKi]-[MEK_fi]	0	258
[CSKi]-[SOCS1_gi]	0	443
[CSKi]-[mTORC1_ci]	0	309
[CSKi]-[PRKCDi]	0	437
[CSKi]-[PLK1i]	0	428
[CSKi]-[MAPKAPK2i]	0	448
[CSKi]-[IRAK1i]	0	435
[CSKi]-[ISGF3_ci]	0	450
[CSKi]-[SOCS1i]	0	443
[CSKi]-[STAT3i]	0	450
[CSKi]-[STAT1i]	0	443
[CSKi]-[STAT2i]	0	450
[CSKi]-[JAK_fi]	0	450
[CSKi]-[AXIN1i]	0	405
[CSKi]-[MDM2i]	0	402
[CSKi]-[CK1_fi]	0	450
[CSKi]-[ITCHi]	0	250
[CSKi]-[TP53i]	0	450
[CSKi]-[NFKB_fi]	0	450
[CSKi]-[IKBKBi]	0	396
[CSKi]-[REL_fi]	0	450
[CSKi]-[PIAS1i]	0	448
[CSKi]-[AKT_fi]	0	373
[CSKi]-[MAPK14i]	0	434
[CSKi]-[CBPp300_ci]	0	410
[CSKi]-[SKIi]	0	450
[CSKi]-[PPM1Ai]	0	450
[CSKi]-[ERK_fi]	0	261
[CSKi]-[GSK3_fi]	0	450
[CSKi]-[PPP1CAi]	0	450
[CSKi]-[TAB_fi]	0	396
[CSKi]-[MAP3K7i]	0	396
[CSKi]-[SMAD4i]	0	450
[CSKi]-[SMAD1i]	0	450
[CSKi]-[SMAD5i]	0	450
[CSKi]-[BMPR2i]	0	450
[CSKi]-[ACVR1i]	0	450
[CSKi]-[SRCi]	0	450
[CSKi]-[SMAD3i]	0	450
[CSKi]-[SHC1i]	0	415
[CSKi]-[SMAD6i]	0	446
